Engine,Feature,Real Std Dev,Generated Std Dev,Ratio to Real
Physics-Informed Monte Carlo,Size,1.9270924917809722,2.0072336121978718,1.041586545927972
Physics-Informed Monte Carlo,Weight,1.6000808797574253,1.6181887188850417,1.0113168273908513
Physics-Informed Monte Carlo,Sweetness,1.9544477443567136,1.9444943552013572,0.9949073137493207
Physics-Informed Monte Carlo,Crunchiness,1.4105000840890236,1.3926620392269495,0.9873533897209267
Physics-Informed Monte Carlo,Juiciness,1.8979613672468028,1.9218138717484499,1.012567434149752
Physics-Informed Monte Carlo,Ripeness,1.8830016121287676,1.8592653035359987,0.9873944300207292
Physics-Informed Monte Carlo,Acidity,2.1170076797915143,2.1570593421543283,1.0189189971983277
Regression,Size,1.9270924917809722,1.9562992652071496,1.0151558752632497
Regression,Weight,1.6000808797574253,1.556279042316521,0.9726252353896355
Regression,Sweetness,1.9544477443567136,1.8594613100649913,0.951399859849931
Regression,Crunchiness,1.4105000840890236,1.3510782030902533,0.9578717635900403
Regression,Juiciness,1.8979613672468028,1.95097953356124,1.0279342705438446
Regression,Ripeness,1.8830016121287676,1.7499147492367413,0.9293219601965347
Regression,Acidity,2.1170076797915143,2.014180694703366,0.9514281473469786
Variational Autoencoder,Size,1.9270924917809722,1.543498158454895,0.8009465892467006
Variational Autoencoder,Weight,1.6000808797574253,1.1876037120819092,0.7422148012055189
Variational Autoencoder,Sweetness,1.9544477443567136,1.6914888620376587,0.8654561714027278
Variational Autoencoder,Crunchiness,1.4105000840890236,0.8847717046737671,0.6272751874702652
Variational Autoencoder,Juiciness,1.8979613672468028,1.633395791053772,0.8606053944202186
Variational Autoencoder,Ripeness,1.8830016121287676,1.5872215032577515,0.8429209476158487
Variational Autoencoder,Acidity,2.1170076797915143,1.7715257406234741,0.8368064780936157
Physics-Informed VAE (Hybrid),Size,1.9270924917809722,1.925596833229065,0.999223878169685
Physics-Informed VAE (Hybrid),Weight,1.6000808797574253,1.5995585918426514,0.9996735865534165
Physics-Informed VAE (Hybrid),Sweetness,1.9544477443567136,1.9352977275848389,0.9902018271774373
Physics-Informed VAE (Hybrid),Crunchiness,1.4105000840890236,1.3964524269104004,0.9900406548449829
Physics-Informed VAE (Hybrid),Juiciness,1.8979613672468028,1.9408477544784546,1.0225960274912567
Physics-Informed VAE (Hybrid),Ripeness,1.8830016121287676,1.868194580078125,0.9921364740448082
Physics-Informed VAE (Hybrid),Acidity,2.1170076797915143,2.1041364669799805,0.9939200915828509
