Engine,Feature,Real Std Dev,Generated Std Dev,Ratio to Real
Physics-Informed Monte Carlo,Water,25.692383630765647,24.04102421717191,0.9357257217809757
Physics-Informed Monte Carlo,Potassium,224.11938213613755,218.26445325635186,0.9738758476666279
Physics-Informed Monte Carlo,Iron,1.0245991626672384,0.8960467887290505,0.8745339849746313
Physics-Informed Monte Carlo,Calcium,30.063029506784527,29.957072071276713,0.9964754904197561
Physics-Informed Monte Carlo,Magnesium,22.14325107409394,17.823934703580033,0.8049375696431855
Regression,Water,25.692383630765647,22.972832273069248,0.8941495115136051
Regression,Potassium,224.11938213613755,206.24875737160494,0.9202629215099415
Regression,Iron,1.0245991626672384,0.962853571522376,0.9397368323197473
Regression,Calcium,30.063029506784527,29.065401685082417,0.9668154594507194
Regression,Magnesium,22.14325107409394,16.155460286169976,0.7295884525769
Variational Autoencoder,Water,25.692383630765647,20.742191314697266,0.8073284134625518
Variational Autoencoder,Potassium,224.11938213613755,254.02999877929688,1.1334584111292554
Variational Autoencoder,Iron,1.0245991626672384,0.937117874622345,0.9146190127491789
Variational Autoencoder,Calcium,30.063029506784527,37.95515060424805,1.2625191548204564
Variational Autoencoder,Magnesium,22.14325107409394,21.51967430114746,0.971838969315756
Physics-Informed VAE (Hybrid),Water,25.692383630765647,24.01892852783203,0.9348657124623612
Physics-Informed VAE (Hybrid),Potassium,224.11938213613755,195.64056396484375,0.8729301415171901
Physics-Informed VAE (Hybrid),Iron,1.0245991626672384,0.8612920641899109,0.8406136717385108
Physics-Informed VAE (Hybrid),Calcium,30.063029506784527,26.112215042114258,0.8685822909571151
Physics-Informed VAE (Hybrid),Magnesium,22.14325107409394,15.95302677154541,0.7204464564920794
