Engine,Feature,KS Statistic,P-Value
Physics-Informed Monte Carlo,Water,0.159,0.5417116252472391
Physics-Informed Monte Carlo,Potassium,0.127,0.7992300591232329
Physics-Informed Monte Carlo,Iron,0.27399999999999997,0.047991595745763165
Physics-Informed Monte Carlo,Calcium,0.3356666666666666,0.007428209996424962
Physics-Informed Monte Carlo,Magnesium,0.14500000000000002,0.6555344065205646
Regression,Water,0.10999999999999999,0.9099421614337356
Regression,Potassium,0.11399999999999999,0.887333041881539
Regression,Iron,0.197,0.28404733794555365
Regression,Calcium,0.2506666666666666,0.08766039874783978
Regression,Magnesium,0.139,0.7047740363995894
Variational Autoencoder,Water,0.22499999999999998,0.1595497987104683
Variational Autoencoder,Potassium,0.28,0.040733331829109896
Variational Autoencoder,Iron,0.30366666666666664,0.020566428601858644
Variational Autoencoder,Calcium,0.47966666666666663,1.790577702477081e-05
Variational Autoencoder,Magnesium,0.33499999999999996,0.007596406547561892
Physics-Informed VAE (Hybrid),Water,0.125,0.813986918332706
Physics-Informed VAE (Hybrid),Potassium,0.134,0.7450942879584873
Physics-Informed VAE (Hybrid),Iron,0.12466666666666662,0.8163524990252106
Physics-Informed VAE (Hybrid),Calcium,0.18466666666666665,0.35671903526743065
Physics-Informed VAE (Hybrid),Magnesium,0.15333333333333343,0.5871533492795405
